Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,22828000000.0,13701000000.0,9127000000.0,4450000000.0,2158000000.0,2620000000.0,77000000.0,316000000.0,77000000.0,2523000000.0,261000000.0,2262000000.0,13000000.0,2273000000.0,1.67,0.3998,0.1148,0.1105,0.0996,0.1493,5871000000.0,2620000000.0,1.6672,1.6864,1.6864,2273000000.0,2273000000.0,0.2572,0.1673,AMD
2022-06-30 00:00:00,21576000000.0,12127000000.0,9449000000.0,3936000000.0,1969000000.0,3632000000.0,53000000.0,302000000.0,53000000.0,3599000000.0,478000000.0,3121000000.0,11000000.0,3130000000.0,2.38,0.4379,0.1683,0.1668,0.1451,0.1543,5769000000.0,3632000000.0,2.377,2.4058,2.4058,3130000000.0,3130000000.0,0.2674,0.1717,AMD
2022-03-31 00:00:00,18876000000.0,10009000000.0,8867000000.0,3295000000.0,1718000000.0,3937000000.0,38000000.0,217000000.0,38000000.0,3923000000.0,537000000.0,3386000000.0,9000000.0,3393000000.0,2.69,0.4697,0.2086,0.2078,0.1798,0.1755,4848000000.0,3937000000.0,2.6794,2.7134,2.7134,3393000000.0,3393000000.0,0.2568,0.1917,AMD
2021-12-31 00:00:00,16434000000.0,8505000000.0,7929000000.0,2845000000.0,1440000000.0,3648000000.0,34000000.0,68000000.0,34000000.0,3669000000.0,513000000.0,3156000000.0,,3162000000.0,2.59,0.4825,0.222,0.2233,0.1924,0.1959,4121000000.0,3648000000.0,2.5729,2.6067,2.6067,3162000000.0,3162000000.0,0.2508,0.2143,AMD
2021-09-30 00:00:00,14852000000.0,7898000000.0,6954000000.0,2607000000.0,1336000000.0,3011000000.0,35000000.0,19000000.0,35000000.0,3012000000.0,-948000000.0,3960000000.0,9000000.0,3969000000.0,3.27,0.4682,0.2027,0.2028,0.2672,0.1996,3448000000.0,3011000000.0,3.2593,3.3032,3.3032,3969000000.0,3969000000.0,0.2322,0.219,AMD
2021-06-30 00:00:00,13340000000.0,7242000000.0,6098000000.0,2350000000.0,1241000000.0,2512000000.0,39000000.0,-102000000.0,39000000.0,2410000000.0,-1018000000.0,3428000000.0,8000000.0,3436000000.0,2.85,0.4571,0.1883,0.1807,0.2576,0.1848,2929000000.0,2512000000.0,2.8299,2.8723,2.8723,3436000000.0,3436000000.0,0.2196,0.2056,AMD
2021-03-31 00:00:00,11422000000.0,6306000000.0,5116000000.0,2151000000.0,1115000000.0,1854000000.0,43000000.0,-105000000.0,43000000.0,1749000000.0,-1127000000.0,2876000000.0,7000000.0,2883000000.0,2.4,0.4479,0.1623,0.1531,0.2524,0.1514,2247000000.0,1854000000.0,2.3816,2.4221,2.4221,2883000000.0,2883000000.0,0.1967,0.1781,AMD
2020-12-31 00:00:00,9763000000.0,5416000000.0,4347000000.0,1983000000.0,995000000.0,1369000000.0,47000000.0,-94000000.0,47000000.0,1275000000.0,-1210000000.0,2485000000.0,6000000.0,2490000000.0,2.08,0.4453,0.1402,0.1306,0.255,0.0796,1737000000.0,1369000000.0,2.0631,2.1031,2.1031,2490000000.0,2490000000.0,0.1779,0.1097,AMD
2020-09-30 00:00:00,8646000000.0,4801000000.0,3845000000.0,1805000000.0,893000000.0,1147000000.0,56000000.0,-213000000.0,56000000.0,934000000.0,57000000.0,877000000.0,2000000.0,879000000.0,0.75,0.4447,0.1327,0.108,0.1017,0.0806,1490000000.0,1147000000.0,0.7322,0.7572,0.7572,879000000.0,879000000.0,0.1723,0.1109,AMD
2020-06-30 00:00:00,7646000000.0,4254000000.0,3392000000.0,1703000000.0,805000000.0,884000000.0,,-225000000.0,69000000.0,659000000.0,52000000.0,607000000.0,0.0,609000000.0,0.53,0.4436,0.1156,0.0862,0.0796,0.0799,1206000000.0,884000000.0,0.5186,0.5372,0.5372,609000000.0,609000000.0,0.1577,0.1117,AMD
2020-03-31 00:00:00,7245000000.0,4080000000.0,3165000000.0,1616000000.0,779000000.0,770000000.0,,-234000000.0,80000000.0,536000000.0,50000000.0,486000000.0,,487000000.0,0.43,0.4369,0.1063,0.074,0.0672,0.0595,1076000000.0,770000000.0,0.4222,0.4358,0.4358,487000000.0,487000000.0,0.1485,0.0885,AMD
2019-12-31 00:00:00,6731000000.0,3863000000.0,2868000000.0,1547000000.0,750000000.0,631000000.0,,-259000000.0,94000000.0,372000000.0,31000000.0,341000000.0,,341000000.0,0.3,0.4261,0.0937,0.0553,0.0507,0.041,919000000.0,631000000.0,0.3044,0.3126,0.3126,341000000.0,341000000.0,0.1365,0.0732,AMD
2019-09-30 00:00:00,6023000000.0,3567000000.0,2456000000.0,1523000000.0,682000000.0,311000000.0,,-141000000.0,105000000.0,170000000.0,-39000000.0,209000000.0,-2000000.0,209000000.0,0.19,0.4078,0.0516,0.0282,0.0347,-0.0075,573000000.0,311000000.0,0.1964,0.1938,0.1938,209000000.0,209000000.0,0.0951,0.0284,AMD
2019-06-30 00:00:00,5875000000.0,3535000000.0,2340000000.0,1480000000.0,645000000.0,275000000.0,,-117000000.0,111000000.0,158000000.0,-34000000.0,192000000.0,,191000000.0,0.18,0.3983,0.0468,0.0269,0.0325,-0.0308,511000000.0,275000000.0,0.1838,0.1877,0.1877,191000000.0,191000000.0,0.087,0.0022,AMD
2019-03-31 00:00:00,6100000000.0,3729000000.0,2371000000.0,1464000000.0,598000000.0,369000000.0,,-125000000.0,117000000.0,244000000.0,-30000000.0,274000000.0,-6000000.0,272000000.0,0.27,0.3887,0.0605,0.04,0.0446,-0.0411,587000000.0,369000000.0,0.2533,0.2747,0.2747,272000000.0,272000000.0,0.0962,-0.0118,AMD
2018-12-31 00:00:00,6475000000.0,4028000000.0,2447000000.0,1434000000.0,562000000.0,451000000.0,,-121000000.0,121000000.0,330000000.0,-9000000.0,339000000.0,,337000000.0,0.34,0.3779,0.0697,0.051,0.052,-0.0199,659000000.0,451000000.0,0.3167,0.3431,0.3431,337000000.0,337000000.0,0.1018,0.0053,AMD
2018-09-30 00:00:00,6396000000.0,4034000000.0,2362000000.0,1383000000.0,558000000.0,421000000.0,,-125000000.0,123000000.0,296000000.0,14000000.0,282000000.0,,280000000.0,0.36,0.3693,0.0658,0.0463,0.0438,0.0113,625000000.0,421000000.0,0.2603,0.2875,0.2875,280000000.0,280000000.0,0.0977,0.0372,AMD
2018-06-30 00:00:00,6327000000.0,4055000000.0,2272000000.0,1340000000.0,542000000.0,390000000.0,,-123000000.0,124000000.0,267000000.0,24000000.0,243000000.0,-7000000.0,239000000.0,0.33,0.3591,0.0616,0.0422,0.0378,0.0101,589000000.0,390000000.0,0.224,0.2479,0.2479,239000000.0,239000000.0,0.0931,0.0365,AMD
2018-03-31 00:00:00,5722000000.0,3716000000.0,2006000000.0,1268000000.0,527000000.0,236000000.0,,-128000000.0,125000000.0,108000000.0,21000000.0,87000000.0,-8000000.0,81000000.0,0.19,0.3506,0.0412,0.0189,0.0142,0.0119,427000000.0,236000000.0,0.0785,0.0842,0.0842,81000000.0,81000000.0,0.0746,0.0357,AMD
2017-12-31 00:00:00,5253000000.0,3466000000.0,1787000000.0,1196000000.0,516000000.0,127000000.0,,-135000000.0,126000000.0,-8000000.0,18000000.0,-26000000.0,-9000000.0,-33000000.0,0.03,0.3402,0.0242,-0.0015,-0.0063,-0.0192,307000000.0,127000000.0,-0.0346,-0.0346,-0.0346,-33000000.0,-33000000.0,0.0584,0.0023,AMD
2017-09-30 00:00:00,5066000000.0,3375000000.0,1691000000.0,1140000000.0,509000000.0,125000000.0,,-147000000.0,129000000.0,-22000000.0,35000000.0,-57000000.0,-11000000.0,-66000000.0,-0.09,0.3338,0.0247,-0.0043,-0.013,-0.044,312000000.0,125000000.0,-0.0658,-0.0635,-0.0635,-66000000.0,-66000000.0,0.0616,-0.0263,AMD
2017-06-30 00:00:00,4789000000.0,3610000000.0,1179000000.0,1079000000.0,494000000.0,-287000000.0,,-217000000.0,139000000.0,-504000000.0,17000000.0,-521000000.0,,-533000000.0,-0.66,0.2462,-0.0599,-0.1052,-0.1113,-0.0497,-112000000.0,-287000000.0,-0.6225,-0.6254,-0.6254,-533000000.0,-533000000.0,-0.0234,-0.0361,AMD
2017-03-31 00:00:00,4665000000.0,3553000000.0,1112000000.0,1037000000.0,484000000.0,-294000000.0,,-73000000.0,148000000.0,-367000000.0,43000000.0,-410000000.0,-12000000.0,-422000000.0,-0.55,0.2384,-0.063,-0.0787,-0.0905,-0.0536,-130000000.0,-294000000.0,-0.4941,-0.4941,-0.4941,-422000000.0,-422000000.0,-0.0279,-0.0377,AMD
2016-12-31 00:00:00,4319000000.0,3316000000.0,1003000000.0,1008000000.0,466000000.0,-373000000.0,,-76000000.0,156000000.0,-449000000.0,39000000.0,-488000000.0,482000000.0,-498000000.0,-0.61,0.2322,-0.0864,-0.104,-0.1153,0.0009,-219000000.0,-373000000.0,-0.5965,-0.5965,-0.5965,-498000000.0,-498000000.0,-0.0507,0.0188,AMD
2016-09-30 00:00:00,4124000000.0,3194000000.0,930000000.0,973000000.0,448000000.0,-418000000.0,,-78000000.0,163000000.0,-496000000.0,44000000.0,-540000000.0,511000000.0,-548000000.0,-0.68,0.2255,-0.1014,-0.1203,-0.1329,-0.0308,-274000000.0,-418000000.0,-0.6793,-0.6764,-0.6764,-548000000.0,-548000000.0,-0.0664,-0.0095,AMD
2016-06-30 00:00:00,3878000000.0,2768000000.0,1110000000.0,955000000.0,439000000.0,-283000000.0,,-13000000.0,161000000.0,-296000000.0,41000000.0,-336000000.0,330000000.0,-339000000.0,-0.43,0.2862,-0.073,-0.0763,-0.0874,-0.0567,-130000000.0,-283000000.0,-0.4321,-0.4292,-0.4292,-339000000.0,-339000000.0,-0.0335,-0.032,AMD
2016-03-31 00:00:00,3793000000.0,2770000000.0,1023000000.0,947000000.0,456000000.0,-412000000.0,,-165000000.0,160000000.0,-577000000.0,15000000.0,-589000000.0,,-589000000.0,-0.75,0.2697,-0.1086,-0.1521,-0.1553,-0.0496,-247000000.0,-412000000.0,-0.7487,-0.7487,-0.7487,-589000000.0,-589000000.0,-0.0651,-0.0253,AMD
2015-12-31 00:00:00,3991000000.0,2911000000.0,1080000000.0,947000000.0,482000000.0,-481000000.0,,-165000000.0,160000000.0,-646000000.0,11000000.0,-660000000.0,,-660000000.0,-0.84,0.2706,-0.1205,-0.1619,-0.1654,-0.0787,-303000000.0,-481000000.0,-0.8429,-0.8429,-0.8429,-660000000.0,-660000000.0,-0.0759,-0.0566,AMD
2015-09-30 00:00:00,4272000000.0,3115000000.0,1157000000.0,956000000.0,517000000.0,-762000000.0,,-159000000.0,160000000.0,-921000000.0,,-922000000.0,,-922000000.0,-1.18,0.2708,-0.1784,-0.2156,-0.2158,-0.0578,-581000000.0,-762000000.0,-1.1883,-1.1887,-1.1887,-922000000.0,-922000000.0,-0.136,-0.0396,AMD
2015-06-30 00:00:00,4640000000.0,3228000000.0,1412000000.0,993000000.0,559000000.0,-541000000.0,,-164000000.0,164000000.0,-705000000.0,3000000.0,-708000000.0,,-708000000.0,-0.91,0.3043,-0.1166,-0.1519,-0.1526,-0.0399,-353000000.0,-541000000.0,-0.9156,-0.9156,-0.9156,-708000000.0,-708000000.0,-0.0761,-0.0205,AMD
2015-03-31 00:00:00,5139000000.0,3461000000.0,1678000000.0,1035000000.0,579000000.0,-341000000.0,,-216000000.0,170000000.0,-557000000.0,6000000.0,-563000000.0,,-563000000.0,-0.73,0.3265,-0.0664,-0.1084,-0.1096,-0.0315,-145000000.0,-341000000.0,-0.7301,-0.7301,-0.7301,-563000000.0,-563000000.0,-0.0282,-0.0128,AMD
2014-12-31 00:00:00,5506000000.0,3667000000.0,1839000000.0,1072000000.0,604000000.0,-155000000.0,,-243000000.0,177000000.0,-398000000.0,5000000.0,-403000000.0,,-403000000.0,-0.53,0.334,-0.0282,-0.0723,-0.0732,-0.0351,48000000.0,-155000000.0,-0.5247,-0.5247,-0.5247,-403000000.0,-403000000.0,0.0087,-0.0178,AMD
2014-09-30 00:00:00,5856000000.0,3824000000.0,2032000000.0,1127000000.0,629000000.0,310000000.0,,-251000000.0,180000000.0,59000000.0,9000000.0,50000000.0,,50000000.0,0.06,0.347,0.0529,0.0101,0.0085,-0.049,519000000.0,310000000.0,0.0687,0.0685,0.0685,50000000.0,50000000.0,0.0886,-0.033,AMD
2014-06-30 00:00:00,5888000000.0,3829000000.0,2059000000.0,1137000000.0,634000000.0,342000000.0,,-251000000.0,184000000.0,91000000.0,10000000.0,81000000.0,,81000000.0,0.1,0.3497,0.0581,0.0155,0.0138,-0.0362,559000000.0,342000000.0,0.1098,0.1098,0.1098,81000000.0,81000000.0,0.0949,-0.0323,AMD
2014-03-31 00:00:00,5608000000.0,3588000000.0,2020000000.0,1168000000.0,651000000.0,250000000.0,,-198000000.0,180000000.0,52000000.0,9000000.0,43000000.0,,43000000.0,0.05,0.3602,0.0446,0.0093,0.0077,-0.0396,473000000.0,250000000.0,0.0585,0.0585,0.0585,43000000.0,43000000.0,0.0843,-0.0351,AMD
2013-12-31 00:00:00,5299000000.0,3321000000.0,1978000000.0,1201000000.0,674000000.0,103000000.0,,-177000000.0,177000000.0,-74000000.0,9000000.0,-83000000.0,,-83000000.0,-0.11,0.3733,0.0194,-0.014,-0.0157,0.0011,339000000.0,103000000.0,-0.1101,-0.1101,-0.1101,-83000000.0,-83000000.0,0.064,-0.0279,AMD
2013-09-30 00:00:00,4865000000.0,3262000000.0,1603000000.0,1221000000.0,698000000.0,-454000000.0,,-179000000.0,178000000.0,-633000000.0,12000000.0,-645000000.0,,-645000000.0,-0.86,0.3295,-0.0933,-0.1301,-0.1326,-0.0849,-206000000.0,-454000000.0,-0.8614,-0.8619,-0.8619,-645000000.0,-645000000.0,-0.0423,-0.0935,AMD
2013-06-30 00:00:00,4673000000.0,3199000000.0,1474000000.0,1261000000.0,731000000.0,-680000000.0,,-161000000.0,175000000.0,-841000000.0,3000000.0,-850000000.0,,-850000000.0,-1.13,0.3154,-0.1455,-0.18,-0.1819,-0.1616,-423000000.0,-680000000.0,-1.1349,-1.136,-1.136,-850000000.0,-850000000.0,-0.0905,-0.1532,AMD
2013-03-31 00:00:00,4925000000.0,3272000000.0,1653000000.0,1298000000.0,772000000.0,-574000000.0,,-165000000.0,176000000.0,-739000000.0,-32000000.0,-739000000.0,,-739000000.0,-0.98,0.3356,-0.1165,-0.1501,-0.1501,-0.1328,-311000000.0,-574000000.0,-0.9875,-0.9875,-0.9875,-739000000.0,-739000000.0,-0.0631,-0.1218,AMD
2012-12-31 00:00:00,5422000000.0,4187000000.0,1235000000.0,1354000000.0,823000000.0,-1056000000.0,,-161000000.0,175000000.0,-1217000000.0,-38000000.0,-1183000000.0,,-1183000000.0,-1.59,0.2278,-0.1948,-0.2245,-0.2182,-0.1175,-796000000.0,-1056000000.0,-1.5964,-1.5964,-1.5964,-1183000000.0,-1183000000.0,-0.1468,-0.0623,AMD
