Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,138058000000.0,14653000000.0,123405000000.0,77819000000.0,45586000000.0,376000000.0,45586000000.0,8519000000.0,37067000000.0,35222000000.0,11.87,0.8939,0.0,0.3302,0.2551,0.6681,12.486,12.5036,12.5036,37067000000.0,37067000000.0,0.0,0.6681,JPM
2022-06-30 00:00:00,128296000000.0,7960000000.0,120336000000.0,72640000000.0,47696000000.0,405000000.0,47696000000.0,8679000000.0,39017000000.0,37196000000.0,12.48,0.938,0.0,0.3718,0.2899,0.6918,13.0916,13.1112,13.1112,39017000000.0,39017000000.0,0.0,0.6918,JPM
2022-03-31 00:00:00,125895000000.0,5795000000.0,120100000000.0,68172000000.0,51928000000.0,517000000.0,51928000000.0,9612000000.0,42316000000.0,40497000000.0,13.5,0.954,0.0,0.4125,0.3217,0.7993,14.1036,14.1261,14.1261,42316000000.0,42316000000.0,0.0,0.7993,JPM
2021-12-31 00:00:00,127202000000.0,5553000000.0,121649000000.0,62087000000.0,59562000000.0,674000000.0,59562000000.0,11228000000.0,48334000000.0,46503000000.0,15.37,0.9563,0.0,0.4682,0.3656,-0.0174,15.9698,15.9968,15.9968,48334000000.0,48334000000.0,0.0,-0.0174,JPM
2021-09-30 00:00:00,127154000000.0,5427000000.0,121727000000.0,59646000000.0,62081000000.0,1061000000.0,62081000000.0,12010000000.0,50071000000.0,48275000000.0,15.84,0.9573,0.0,0.4882,0.3797,-0.2578,16.3885,16.4168,16.4168,50071000000.0,50071000000.0,0.0,-0.2578,JPM
2021-06-30 00:00:00,127049000000.0,5714000000.0,121335000000.0,61596000000.0,59739000000.0,1103000000.0,59739000000.0,11912000000.0,47827000000.0,46061000000.0,15.03,0.955,0.0,0.4702,0.3625,-0.5752,15.5625,15.5891,15.5891,47827000000.0,47827000000.0,0.0,-0.5752,JPM
2021-03-31 00:00:00,130551000000.0,6620000000.0,123931000000.0,73629000000.0,50302000000.0,,50302000000.0,9736000000.0,40566000000.0,38830000000.0,12.63,0.9493,0.0,0.3853,0.2974,-0.0283,13.156,13.178,13.178,40566000000.0,40566000000.0,0.0,-0.0283,JPM
2020-12-31 00:00:00,129911000000.0,9960000000.0,119951000000.0,84136000000.0,35815000000.0,1115000000.0,35815000000.0,6684000000.0,29131000000.0,27410000000.0,8.91,0.9233,0.0,0.2757,0.211,-0.6151,9.4355,9.4507,9.4507,29131000000.0,29131000000.0,0.0,-0.6151,JPM
2020-09-30 00:00:00,133604000000.0,14429000000.0,119175000000.0,87650000000.0,31525000000.0,809000000.0,31525000000.0,6010000000.0,25515000000.0,23802000000.0,7.69,0.892,0.0,0.236,0.1782,0.2317,8.2192,8.2345,8.2345,25515000000.0,25515000000.0,0.0,0.2317,JPM
2020-06-30 00:00:00,138846000000.0,19635000000.0,119211000000.0,88050000000.0,31161000000.0,182000000.0,31161000000.0,6009000000.0,25152000000.0,23393000000.0,7.45,0.8586,0.0,0.2244,0.1685,0.4441,7.9872,8.0052,8.0052,25152000000.0,25152000000.0,0.0,0.4441,JPM
2020-03-31 00:00:00,139464000000.0,24581000000.0,114883000000.0,78040000000.0,36843000000.0,-79000000.0,36843000000.0,6726000000.0,30117000000.0,28320000000.0,8.89,0.8237,0.0,0.2642,0.2031,-0.2518,9.4269,9.4509,9.4509,30117000000.0,30117000000.0,0.0,-0.2518,JPM
2019-12-31 00:00:00,142515000000.0,26795000000.0,115720000000.0,70854000000.0,44866000000.0,,44866000000.0,8435000000.0,36431000000.0,34642000000.0,10.75,0.812,0.0,0.3148,0.2431,0.0287,11.2775,11.3087,11.3087,36431000000.0,36431000000.0,0.0,0.0287,JPM
2019-09-30 00:00:00,140104000000.0,27080000000.0,113024000000.0,70203000000.0,42821000000.0,,42821000000.0,7844000000.0,34977000000.0,33194000000.0,10.16,0.8067,0.0,0.3056,0.2369,-0.5487,10.6849,10.7163,10.7163,34977000000.0,34977000000.0,0.0,-0.5487,JPM
2019-06-30 00:00:00,136711000000.0,25718000000.0,110993000000.0,68888000000.0,42105000000.0,,42105000000.0,7828000000.0,34277000000.0,32536000000.0,9.82,0.8119,0.0,0.308,0.238,-0.583,10.3226,10.3597,10.3597,34277000000.0,34277000000.0,0.0,-0.583,JPM
2019-03-31 00:00:00,133593000000.0,23594000000.0,109999000000.0,68664000000.0,41335000000.0,,41335000000.0,8394000000.0,32941000000.0,31224000000.0,9.3,0.8234,0.0,0.3094,0.2337,-0.2257,9.7828,9.8254,9.8254,32941000000.0,32941000000.0,0.0,-0.2257,JPM
2018-12-31 00:00:00,129824000000.0,21041000000.0,108783000000.0,68019000000.0,40764000000.0,,40764000000.0,8290000000.0,32474000000.0,30709000000.0,9.03,0.8379,0.0,0.314,0.2365,0.1203,9.512,9.5614,9.5614,32474000000.0,32474000000.0,0.0,0.1203,JPM
2018-09-30 00:00:00,125937000000.0,18560000000.0,107377000000.0,67200000000.0,40177000000.0,,40177000000.0,10537000000.0,29640000000.0,27841000000.0,8.12,0.8526,0.0,0.319,0.2211,0.209,8.6066,8.6566,8.6566,29640000000.0,29640000000.0,0.0,0.209,JPM
2018-06-30 00:00:00,122613000000.0,16918000000.0,105695000000.0,66651000000.0,39044000000.0,,39044000000.0,11052000000.0,27992000000.0,26155000000.0,7.54,0.862,0.0,0.3184,0.2133,0.0672,8.029,8.0789,8.0789,27992000000.0,27992000000.0,0.0,0.0672,JPM
2018-03-31 00:00:00,118952000000.0,15279000000.0,103673000000.0,65452000000.0,38221000000.0,,38221000000.0,11516000000.0,26705000000.0,24830000000.0,7.06,0.8716,0.0,0.3213,0.2087,-0.1965,7.5608,7.6105,7.6105,26705000000.0,26705000000.0,0.0,-0.1965,JPM
2017-12-31 00:00:00,114579000000.0,13874000000.0,100705000000.0,64805000000.0,35900000000.0,,35900000000.0,11459000000.0,24441000000.0,22567000000.0,6.34,0.8789,0.0,0.3133,0.197,-0.0945,6.8331,6.8816,6.8816,24441000000.0,24441000000.0,0.0,-0.0945,JPM
2017-09-30 00:00:00,113547000000.0,13022000000.0,100525000000.0,64200000000.0,36325000000.0,,36325000000.0,9389000000.0,26936000000.0,25040000000.0,6.99,0.8853,0.0,0.3199,0.2205,0.1516,7.4604,7.5188,7.5188,26936000000.0,26936000000.0,0.0,0.1516,JPM
2017-06-30 00:00:00,111220000000.0,11600000000.0,99620000000.0,63912000000.0,35708000000.0,,35708000000.0,9218000000.0,26490000000.0,24590000000.0,6.82,0.8957,0.0,0.3211,0.2211,0.2365,7.2821,7.3423,7.3423,26490000000.0,26490000000.0,0.0,0.2365,JPM
2017-03-31 00:00:00,108893000000.0,10624000000.0,98269000000.0,62970000000.0,35299000000.0,,35299000000.0,9638000000.0,25661000000.0,23763000000.0,6.55,0.9024,0.0,0.3242,0.2182,0.1902,7.002,7.0625,7.0625,25661000000.0,25661000000.0,0.0,0.1902,JPM
2016-12-31 00:00:00,106387000000.0,9818000000.0,96569000000.0,62033000000.0,34536000000.0,,34536000000.0,9803000000.0,24733000000.0,22834000000.0,6.25,0.9077,0.0,0.3246,0.2146,0.2057,6.7028,6.7598,6.7598,24733000000.0,24733000000.0,0.0,0.2057,JPM
2016-09-30 00:00:00,104212000000.0,9035000000.0,95177000000.0,61949000000.0,33228000000.0,,33228000000.0,9788000000.0,23440000000.0,21739000000.0,5.86,0.9133,0.0,0.3189,0.2086,-0.0245,6.2594,6.3099,6.3099,23440000000.0,23440000000.0,0.0,-0.0245,JPM
2016-06-30 00:00:00,101667000000.0,8383000000.0,93284000000.0,62265000000.0,31019000000.0,,31019000000.0,7061000000.0,23958000000.0,22197000000.0,5.96,0.9175,0.0,0.3051,0.2183,0.1808,6.3728,6.4236,6.4236,23958000000.0,23958000000.0,0.0,0.1808,JPM
2016-03-31 00:00:00,100463000000.0,7747000000.0,92716000000.0,62660000000.0,30056000000.0,,30056000000.0,6008000000.0,24048000000.0,22245000000.0,5.96,0.9229,0.0,0.2992,0.2214,0.3703,6.3801,6.4332,6.4332,24048000000.0,24048000000.0,0.0,0.3703,JPM
2015-12-31 00:00:00,101006000000.0,7463000000.0,93543000000.0,62841000000.0,30702000000.0,,30702000000.0,6260000000.0,24442000000.0,22651000000.0,6.06,0.9261,0.0,0.304,0.2243,0.7273,6.4771,6.5331,6.5331,24442000000.0,24442000000.0,0.0,0.7273,JPM
2015-09-30 00:00:00,100830000000.0,7422000000.0,93408000000.0,63576000000.0,29832000000.0,,29832000000.0,5893000000.0,23939000000.0,21986000000.0,5.92,0.9264,0.0,0.2959,0.2181,0.8534,6.3911,6.4486,6.4486,23939000000.0,23939000000.0,0.0,0.8534,JPM
2015-06-30 00:00:00,102523000000.0,7426000000.0,95097000000.0,64081000000.0,31016000000.0,,31016000000.0,8316000000.0,22700000000.0,20844000000.0,5.59,0.9276,0.0,0.3025,0.2033,0.5703,6.0336,6.0888,6.0888,22700000000.0,22700000000.0,0.0,0.5703,JPM
2015-03-31 00:00:00,103622000000.0,7659000000.0,95963000000.0,64769000000.0,31194000000.0,,31194000000.0,8804000000.0,22390000000.0,20636000000.0,5.5,0.9261,0.0,0.301,0.1991,0.3552,5.9219,5.9742,5.9742,22390000000.0,22390000000.0,0.0,0.3552,JPM
2014-12-31 00:00:00,103009000000.0,7897000000.0,95112000000.0,64413000000.0,30699000000.0,,30699000000.0,8954000000.0,21745000000.0,20077000000.0,5.33,0.9233,0.0,0.298,0.1949,0.3552,5.726,5.778,5.778,21745000000.0,21745000000.0,0.0,0.3552,JPM
2014-09-30 00:00:00,104546000000.0,8267000000.0,96279000000.0,64264000000.0,32015000000.0,,32459000000.0,10404000000.0,22055000000.0,20564000000.0,5.44,0.9209,0.0,0.3105,0.1967,0.0089,5.8044,5.8572,5.8572,22055000000.0,22055000000.0,0.0,0.0089,JPM
2014-06-30 00:00:00,103666000000.0,8739000000.0,94927000000.0,70652000000.0,24135000000.0,,24579000000.0,8469000000.0,16110000000.0,14786000000.0,3.9,0.9157,0.0,0.2371,0.1426,0.2871,4.2347,4.2744,4.2744,16110000000.0,16110000000.0,0.0,0.2871,JPM
2014-03-31 00:00:00,104504000000.0,9044000000.0,95460000000.0,70290000000.0,24878000000.0,,25322000000.0,8696000000.0,16626000000.0,15319000000.0,4.04,0.9135,0.0,0.2423,0.1466,0.9823,4.3693,4.41,4.41,16626000000.0,16626000000.0,0.0,0.9823,JPM
2013-12-31 00:00:00,106717000000.0,9350000000.0,97367000000.0,70692000000.0,26231000000.0,,26675000000.0,8789000000.0,17886000000.0,16557000000.0,4.36,0.9124,0.0,0.25,0.1551,1.0116,4.6885,4.7287,4.7287,17886000000.0,17886000000.0,0.0,1.0116,JPM
2013-09-30 00:00:00,106596000000.0,9493000000.0,97103000000.0,71861000000.0,24798000000.0,,25364000000.0,7027000000.0,18337000000.0,16902000000.0,4.45,0.9109,0.0,0.2379,0.1586,1.0353,4.7885,4.8213,4.8213,18337000000.0,18337000000.0,0.0,1.0353,JPM
2013-06-30 00:00:00,108987000000.0,9855000000.0,99132000000.0,65896000000.0,32750000000.0,,33316000000.0,8891000000.0,24425000000.0,22898000000.0,6.03,0.9096,0.0,0.3057,0.2101,0.6176,6.386,6.423,6.423,24425000000.0,24425000000.0,0.0,0.6176,JPM
2013-03-31 00:00:00,106541000000.0,10440000000.0,96101000000.0,65124000000.0,30452000000.0,,31018000000.0,8129000000.0,22889000000.0,21431000000.0,5.64,0.902,0.0,0.2911,0.2012,0.3827,5.9812,6.0078,6.0078,22889000000.0,22889000000.0,0.0,0.3827,JPM
2012-12-31 00:00:00,108074000000.0,11043000000.0,97031000000.0,68114000000.0,28351000000.0,,28917000000.0,7633000000.0,21284000000.0,19877000000.0,5.34,0.8978,0.0,0.2676,0.1839,0.2321,5.5685,5.5872,5.5872,21284000000.0,21284000000.0,0.0,0.2321,JPM
